episodio,recompensa_total,epsilon,chegou_ao_objetivo,eficiencia_episodio,passos_totais
0,6.3700,1.0000,1,30.77,13
1,9.9100,0.9999,1,11.11,9
2,-0.2500,0.9999,0,0.00,25
3,-0.7500,0.9998,0,0.00,25
4,-1.7500,0.9998,0,0.00,25
5,-5.2500,0.9997,0,0.00,25
6,-0.7500,0.9997,0,0.00,25
7,9.9200,0.9996,1,25.00,8
8,9.8300,0.9996,1,5.88,17
9,9.9900,0.9995,1,100.00,1
10,9.8800,0.9995,1,16.67,12
11,-4.2500,0.9994,0,0.00,25
12,8.3400,0.9994,1,18.75,16
13,9.7600,0.9993,1,4.17,24
14,-0.7500,0.9993,0,0.00,25
15,9.9700,0.9992,1,33.33,3
16,9.9400,0.9992,1,50.00,6
17,9.9800,0.9991,1,100.00,2
18,9.9900,0.9991,1,100.00,1
19,-3.2500,0.9990,0,0.00,25
20,9.8600,0.9990,1,21.43,14
21,-0.7500,0.9989,0,0.00,25
22,-1.2500,0.9989,0,0.00,25
23,5.2700,0.9988,1,8.70,23
24,-3.2500,0.9988,0,0.00,25
25,-0.2500,0.9987,0,0.00,25
26,-2.7500,0.9987,0,0.00,25
27,-3.7500,0.9986,0,0.00,25
28,-3.7500,0.9986,0,0.00,25
29,9.9700,0.9985,1,100.00,3
30,9.9900,0.9985,1,100.00,1
31,7.3400,0.9984,1,18.75,16
32,9.3100,0.9984,1,15.79,19
33,-2.2500,0.9983,0,0.00,25
34,-4.2500,0.9983,0,0.00,25
35,8.8000,0.9982,1,20.00,20
36,-1.7500,0.9982,0,0.00,25
37,9.8800,0.9981,1,25.00,12
38,9.9400,0.9981,1,33.33,6
39,-4.2500,0.9980,0,0.00,25
40,9.8100,0.9980,1,15.79,19
41,9.9800,0.9979,1,50.00,2
42,9.9500,0.9979,1,40.00,5
43,-0.7500,0.9978,0,0.00,25
44,8.8500,0.9978,1,20.00,15
45,-1.7500,0.9977,0,0.00,25
46,-2.7500,0.9977,0,0.00,25
47,-0.2500,0.9976,0,0.00,25
48,9.8200,0.9976,1,5.56,18
49,-4.7500,0.9975,0,0.00,25
50,9.9900,0.9975,1,100.00,1
51,-0.7500,0.9974,0,0.00,25
52,8.8400,0.9974,1,31.25,16
53,9.8500,0.9973,1,13.33,15
54,-0.2500,0.9973,0,0.00,25
55,9.3400,0.9972,1,31.25,16
56,8.9600,0.9972,1,50.00,4
57,-1.2500,0.9971,0,0.00,25
58,9.8600,0.9971,1,14.29,14
59,7.7500,0.9970,1,20.00,25
60,9.9900,0.9970,1,100.00,1
61,5.2600,0.9969,1,12.50,24
62,-5.2500,0.9969,0,0.00,25
63,-3.2500,0.9968,0,0.00,25
64,-5.7500,0.9968,0,0.00,25
65,9.9900,0.9967,1,100.00,1
66,8.2900,0.9967,1,23.81,21
67,-1.7500,0.9966,0,0.00,25
68,9.9300,0.9966,1,28.57,7
69,-1.7500,0.9965,0,0.00,25
70,9.9600,0.9965,1,50.00,4
71,-0.7500,0.9964,0,0.00,25
72,9.9800,0.9964,1,100.00,2
73,-0.7500,0.9963,0,0.00,25
74,-3.7500,0.9963,0,0.00,25
75,8.7600,0.9962,1,12.50,24
76,9.9300,0.9962,1,14.29,7
77,-2.7500,0.9961,0,0.00,25
78,8.3400,0.9961,1,6.25,16
79,9.9900,0.9960,1,100.00,1
80,-2.7500,0.9960,0,0.00,25
81,-3.7500,0.9959,0,0.00,25
82,-6.2500,0.9959,0,0.00,25
83,-6.2500,0.9958,0,0.00,25
84,9.9900,0.9958,1,100.00,1
85,8.8700,0.9957,1,30.77,13
86,9.9000,0.9957,1,20.00,10
87,9.9000,0.9956,1,30.00,10
88,-0.2500,0.9956,0,0.00,25
89,9.9200,0.9955,1,12.50,8
90,-3.7500,0.9955,0,0.00,25
91,-2.2500,0.9954,0,0.00,25
92,9.9800,0.9954,1,100.00,2
93,5.8100,0.9953,1,10.53,19
94,9.8600,0.9953,1,21.43,14
95,9.9500,0.9952,1,60.00,5
96,-1.2500,0.9952,0,0.00,25
97,9.9100,0.9951,1,55.56,9
98,-3.2500,0.9951,0,0.00,25
99,-3.2500,0.9950,0,0.00,25
100,9.9600,0.9950,1,50.00,4
101,-0.7500,0.9949,0,0.00,25
102,9.2500,0.9949,1,4.00,25
103,-2.7500,0.9948,0,0.00,25
104,9.9500,0.9948,1,20.00,5
105,9.9800,0.9947,1,100.00,2
106,-0.2500,0.9947,0,0.00,25
107,-3.7500,0.9946,0,0.00,25
108,-0.7500,0.9946,0,0.00,25
109,-0.2500,0.9945,0,0.00,25
110,-0.2500,0.9945,0,0.00,25
111,-0.2500,0.9944,0,0.00,25
112,8.7900,0.9944,1,19.05,21
113,9.9700,0.9943,1,100.00,3
114,9.9700,0.9943,1,100.00,3
115,-0.2500,0.9942,0,0.00,25
116,9.9300,0.9942,1,42.86,7
117,-4.2500,0.9941,0,0.00,25
118,-1.2500,0.9941,0,0.00,25
119,-2.2500,0.9940,0,0.00,25
120,9.4700,0.9940,1,66.67,3
121,-6.2500,0.9939,0,0.00,25
122,-2.2500,0.9939,0,0.00,25
123,9.9900,0.9938,1,100.00,1
124,-5.7500,0.9938,0,0.00,25
125,9.8900,0.9937,1,27.27,11
126,9.9300,0.9937,1,42.86,7
127,9.7600,0.9936,1,8.33,24
128,9.8000,0.9936,1,10.00,20
129,-2.2500,0.9935,0,0.00,25
130,9.3900,0.9935,1,18.18,11
131,9.8700,0.9934,1,15.38,13
132,-0.2500,0.9934,0,0.00,25
133,-3.7500,0.9933,0,0.00,25
134,9.9400,0.9933,1,50.00,6
135,9.9900,0.9932,1,100.00,1
136,9.9500,0.9932,1,40.00,5
137,-0.2500,0.9931,0,0.00,25
138,9.9600,0.9931,1,50.00,4
139,-0.2500,0.9930,0,0.00,25
140,9.9900,0.9930,1,100.00,1
141,-1.7500,0.9929,0,0.00,25
142,8.2700,0.9929,1,13.04,23
143,7.2500,0.9928,1,12.00,25
144,-0.7500,0.9928,0,0.00,25
145,-1.2500,0.9927,0,0.00,25
146,9.9500,0.9927,1,40.00,5
147,-5.2500,0.9926,0,0.00,25
148,-2.7500,0.9926,0,0.00,25
149,8.8400,0.9925,1,18.75,16
150,-2.2500,0.9925,0,0.00,25
151,-2.2500,0.9924,0,0.00,25
152,-4.7500,0.9924,0,0.00,25
153,-1.7500,0.9923,0,0.00,25
